"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.74297774899","0.754366883391","0.731134990604","0.739100657752","0.760342445049","0.739647670202"
"1","0.78605734654","0.79280551686","0.777743213135","0.77547854495","0.789102647148","0.772415073897"
"2","0.803095447426","0.801061250242","0.788243409238","0.805930064382","0.807196528048","0.789639710114"
"3","0.805158463654","0.804308497325","0.795738973195","0.82142977358","0.81242172993","0.803613941894"
"4","0.820797620637","0.818731183471","0.811138313827","0.829397327088","0.81749578961","0.811768648648"
"5","0.8225835672","0.817938887373","0.808670654887","0.820756637991","0.814753638209","0.801465556614"
"6","0.82107237405","0.821603810103","0.813453032773","0.822242183121","0.814991147385","0.807859815571"
"7","0.82503011987","0.829964565975","0.823434735119","0.826492225925","0.827266053461","0.819969266257"
"8","0.834172185134","0.835158551768","0.827863586889","0.829167989289","0.825668264456","0.816897440305"
"9","0.837637869566","0.839145784896","0.832976657792","0.837778878995","0.833041844799","0.827309524138"
"10","0.837328485491","0.837506065954","0.830659974392","0.836486488389","0.830051388349","0.823598459827"
"11","0.841773794517","0.845418967303","0.840564652202","0.838426872434","0.841095565056","0.835536098"
"12","0.836498411328","0.830706563946","0.825938794481","0.83808233556","0.82432957637","0.818002105965"
"13","0.838277744288","0.831698040626","0.826819559492","0.837922455962","0.829597961739","0.821000206281"
"14","0.846839677204","0.84827912","0.842475550575","0.839043654926","0.843071209569","0.834407795169"
"15","0.848536033102","0.849555082887","0.844483523033","0.846445459615","0.848393574297","0.840224039831"
"16","0.850607017271","0.85254480356","0.84784229681","0.849433115914","0.847875372458","0.842372179517"
"17","0.847970287163","0.850307945253","0.846033234223","0.842705929664","0.830666753034","0.83048229253"
"18","0.851792747384","0.843914449726","0.836871810427","0.841692559532","0.827978580991","0.820738782206"
"19","0.851580718018","0.853652167125","0.849044591969","0.843011776325","0.846623051345","0.839361373493"
"20","0.850462877462","0.853215579382","0.849111597735","0.846319352585","0.842207539837","0.838886581977"
"21","0.849767176194","0.851363803536","0.847586509567","0.847230494543","0.83526579436","0.835370640476"
