"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.827005354666","0.814657839949","0.809667773723","0.846465316593","0.845057649955","0.839191623752"
"1","0.870286066007","0.869649788225","0.867731868466","0.882372543414","0.860009932202","0.867015161234"
"2","0.886420494259","0.886445741197","0.885106050024","0.884518334963","0.875145744267","0.876941049532"
"3","0.901588494986","0.900333255271","0.899863698991","0.886689209567","0.878891911733","0.879316349248"
"4","0.90068767549","0.898741822531","0.897720720621","0.877367473171","0.872619510299","0.869900384243"
"5","0.91338846272","0.912739590098","0.912059483236","0.881410891798","0.867847735026","0.869817997846"
"6","0.914495459392","0.913821201023","0.912875953183","0.88598584598","0.861802046897","0.869499239551"
"7","0.92214625517","0.918539970111","0.918075610632","0.877767343727","0.864382260224","0.865313137806"
"8","0.914257678334","0.90875879513","0.906991973189","0.869910116986","0.827406399793","0.835308445051"
