"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.811496687419","0.813255125782","0.80223671014","0.819408793849","0.811698406529","0.802236090907"
"1","0.841080194812","0.843340246308","0.837492833534","0.843212317608","0.840059161377","0.836769084055"
"2","0.856639625733","0.858232515767","0.854789522954","0.861635805225","0.850995379367","0.851082091257"
"3","0.859691209757","0.85767762683","0.855365425976","0.868090149125","0.863788487282","0.861325967626"
"4","0.868778634304","0.869956807992","0.868071902377","0.870429385102","0.860366195967","0.861160291498"
"5","0.869593686344","0.870573664223","0.868106297964","0.870324598789","0.861715679924","0.859384166766"
"6","0.872093305691","0.871941370894","0.868462845278","0.86822445757","0.859772423025","0.85588402845"
"7","0.873544778399","0.874872745739","0.87218517317","0.86517491372","0.859135466598","0.855589810958"
"8","0.875363624761","0.875162865335","0.871592791688","0.859363981389","0.859200241828","0.852650634466"
