"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.85510719073","0.854296787921","0.851918552749","0.863330003316","0.861888413871","0.858470451659"
"1","0.871003793835","0.869884781074","0.868929182629","0.876433111863","0.87100012955","0.869383668174"
"2","0.881267604561","0.881294005831","0.879994355171","0.874673425472","0.861758863411","0.863509310204"
"3","0.884187824825","0.881951100563","0.879497107388","0.872627588235","0.870956946064","0.865837660358"
"4","0.889423631063","0.889995581813","0.887176387733","0.871279074823","0.870190439176","0.865877605783"
"5","0.894984174935","0.894926005419","0.892512543147","0.871747459927","0.873958198385","0.868794095292"
"6","0.898422095027","0.898557932578","0.896110678481","0.871358598175","0.875631558492","0.869048179746"
