"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.792510268576","0.784346981428","0.769870197148","0.802147568354","0.797275121993","0.778005474397"
"1","0.823525981216","0.819143225728","0.814147335785","0.854862323458","0.822062443322","0.830632694048"
"2","0.84569589215","0.842498859238","0.83994688766","0.87119279184","0.84971067064","0.856782886956"
"3","0.858991109729","0.858709342012","0.856238097124","0.872384956129","0.864824890962","0.864698453262"
"4","0.855476213337","0.845438684169","0.840703294119","0.870617228906","0.829198514488","0.835477199302"
"5","0.859277713989","0.847071562566","0.844296926947","0.86826271131","0.83337651682","0.835986777731"
"6","0.871745998518","0.867295031108","0.864523861036","0.872219420645","0.862762879475","0.859529499179"
"7","0.867849617688","0.865582480478","0.861889907109","0.873216402327","0.851049358725","0.853933543815"
"8","0.875530267949","0.876291555307","0.873821173852","0.868141234076","0.865472643261","0.861673295111"
