"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.796515991468","0.785087772244","0.774034543893","0.813794969158","0.760785075787","0.75678049582"
"1","0.841297101336","0.843672616332","0.83961327966","0.861418463681","0.859405363389","0.85723437376"
"2","0.855547681616","0.856892573663","0.854142842863","0.868888149956","0.857667228052","0.859817151552"
"3","0.862691369886","0.856733631581","0.852565793972","0.864251887041","0.850833441292","0.846793585085"
"4","0.864157204529","0.862983475657","0.859502562338","0.866762906609","0.855205769314","0.85084240768"
"5","0.866009245469","0.866136967031","0.86300028439","0.865035922057","0.862514574427","0.858100942535"
"6","0.865768608399","0.865584894788","0.862378288602","0.859931845892","0.852690331217","0.849610080712"
"7","0.870821742703","0.870723753834","0.868186020268","0.86619889966","0.863097551496","0.859997467446"
"8","0.874948960054","0.876298395852","0.873399989384","0.865767587696","0.865418663903","0.861506067411"
"9","0.876788601835","0.877139380536","0.874381341951","0.864517409285","0.86279526709","0.858827949698"
"10","0.876621027229","0.877009410176","0.874152582582","0.863707125806","0.86311914324","0.858458419128"
"11","0.876528886338","0.875106129048","0.872627324365","0.871765627135","0.871691065337","0.866666187644"
"12","0.880115833338","0.874478810807","0.870260472058","0.863941044271","0.857991104202","0.850887903378"
"13","0.879663830544","0.873617304487","0.871761007588","0.871066094713","0.859124670726","0.85588718717"
"14","0.884763405375","0.88602726078","0.883330730421","0.870384292205","0.87229563415","0.866935926119"
"15","0.884748509178","0.885333549012","0.883023183492","0.871886709463","0.869996113486","0.8661683513"
"16","0.888147777861","0.887641629466","0.88567909955","0.875184468821","0.874465604353","0.870416860006"
"17","0.888612534356","0.886347559253","0.88314199599","0.870056138248","0.870136459818","0.863372839477"
"18","0.891515608986","0.891855405359","0.889313251388","0.87225468079","0.875059377294","0.869051280204"
"19","0.891276397829","0.892076717118","0.889607743448","0.877437807448","0.880640842942","0.874676250933"
"20","0.891794850304","0.892224794804","0.89007987042","0.873334558712","0.873483180032","0.86916595845"
"21","0.893726339002","0.894224648336","0.892080303647","0.876759558295","0.877542427776","0.872956784109"
"22","0.893313843916","0.894638702518","0.892162639087","0.872565242002","0.86969382908","0.867070201089"
"23","0.894716778706","0.895386736263","0.893042337469","0.873427240201","0.874012177743","0.868885516239"
"24","0.896500129615","0.897276336301","0.894690950807","0.875170577093","0.876991838321","0.871427252864"
