"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.806242400271","0.806369915765","0.796327070825","0.813485096098","0.803310014251","0.798138909885"
"1","0.82792909343","0.831025655264","0.826019061578","0.838662190479","0.833139007643","0.830263496155"
"2","0.835056874721","0.83751693035","0.832781253594","0.841588078867","0.829382044306","0.828239430417"
"3","0.842999415023","0.845832216715","0.841225544726","0.845572658028","0.840264282938","0.836987500029"
"4","0.847543169994","0.8476775544","0.843661419226","0.845130423753","0.845381526104","0.839630777428"
"5","0.855032422329","0.851668006609","0.84718555376","0.84721125717","0.840005182018","0.834844559028"
"6","0.850908935464","0.849541401797","0.846136738389","0.85344840367","0.834715204906","0.837492913659"
"7","0.858746543075","0.857235003312","0.853177737476","0.849247710016","0.850747074319","0.843355170035"
"8","0.858648005597","0.859191801647","0.855557388808","0.853010464228","0.851653927538","0.846632462936"
"9","0.857818849562","0.857866345402","0.854885161955","0.85578349764","0.847022498597","0.846284155695"
"10","0.862536623194","0.856400859172","0.851806263211","0.851341975562","0.841160340286","0.835486865844"
"11","0.864451267577","0.859784917161","0.855335928859","0.852124413994","0.845726993997","0.840518774419"
"12","0.864377037903","0.865588918639","0.862498318246","0.856031862233","0.852226108736","0.849448907484"
"13","0.864520402619","0.866009813366","0.862628600984","0.851221422258","0.853500021592","0.848091231814"
"14","0.868508789166","0.869722619913","0.866554205163","0.854947347424","0.856825150063","0.852031988535"
"15","0.868843328198","0.867157817818","0.863136252294","0.855113305609","0.852323271581","0.846634324715"
"16","0.868687921841","0.86977855143","0.867073273059","0.858562262608","0.856047847303","0.852642289023"
"17","0.870362086049","0.870945065593","0.867388207746","0.85888639676","0.860301420737","0.853516837431"
"18","0.867478324825","0.866279411327","0.863628571124","0.857548912021","0.857159822084","0.851765028075"
"19","0.869660178686","0.871281057082","0.868322026664","0.857368850392","0.85609103079","0.852583129063"
"20","0.871905796944","0.872971878921","0.869696114068","0.863399692219","0.866498251069","0.860758561649"
"21","0.87128291095","0.872720388285","0.86945267545","0.859206705528","0.863648140951","0.857058608096"
"22","0.870601259779","0.872146184867","0.869141215839","0.855487310128","0.853921060586","0.850194448907"
"23","0.873365596119","0.874156902794","0.87060314749","0.86157599227","0.864965237293","0.857589856645"
"24","0.873334316706","0.874608378783","0.871588939532","0.854077366664","0.858509306041","0.852215962843"
