"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.826965444752","0.822568326988","0.814681130332","0.845238568638","0.825365980049","0.823957225532"
"1","0.850606294574","0.852216055001","0.84974291168","0.863306222265","0.853186941314","0.8545781747"
"2","0.858161017714","0.858736301808","0.856795631798","0.873083832259","0.861823638641","0.862935149905"
"3","0.85921673091","0.86062147561","0.856877788972","0.86585913278","0.856997884009","0.853767074879"
"4","0.861917240404","0.862724742091","0.859426902378","0.860782271787","0.854795526191","0.852427919284"
"5","0.865297646106","0.864998217434","0.861201820946","0.863695452822","0.863043572138","0.856955141951"
"6","0.868723643783","0.867885329928","0.864005521778","0.860623013165","0.856771170704","0.852310638879"
"7","0.870875251299","0.871820655389","0.869236194943","0.863127451418","0.86201796433","0.858474406704"
