"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.876981243352","0.875530242855","0.873337456532","0.877154186134","0.871788228182","0.870838074728"
"1","0.894771239731","0.892875451375","0.892129527594","0.882240190832","0.871216046984","0.87332572183"
"2","0.908425395408","0.90874109019","0.908010140831","0.887323127562","0.883264239755","0.882873715243"
"3","0.914989578449","0.914781694057","0.913993555044","0.879133230713","0.872004145615","0.871927803336"
"4","0.924491002572","0.923636981114","0.922865027212","0.884885393184","0.869650645593","0.872477500597"
"5","0.930902405669","0.931308451453","0.929200836049","0.871671579574","0.866735760245","0.863713122663"
"6","0.939420923955","0.938883349388","0.937263309469","0.872672281463","0.866789739604","0.864037805635"
"7","0.944698591328","0.944520763469","0.942386397819","0.863327811501","0.858833182191","0.856006738034"
