"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.836046619882","0.83570096677","0.830035960855","0.847836493551","0.833085028285","0.834129573807"
"1","0.867403385973","0.868140844413","0.865275766075","0.866790710958","0.860074707432","0.8587640059"
"2","0.878570083758","0.879414063034","0.877472749788","0.872798654764","0.865882886384","0.865378810183"
"3","0.887923386963","0.888900692183","0.88673503581","0.871065068855","0.865828907026","0.86366976515"
"4","0.879227839513","0.868028981378","0.861305900848","0.84508763383","0.817420218508","0.811067879564"
"5","0.893742980294","0.890360947407","0.886575817208","0.858309923294","0.84932201926","0.842951522021"
"6","0.900414954958","0.896429718226","0.894253811826","0.85710254858","0.848285615581","0.845328840979"
"7","0.911168052936","0.911286175419","0.908908248767","0.86121690573","0.861704884052","0.856743104177"
